region	IMVnum	IMV_per1000
Алтайский край	604	
Амурская область	248	
Архангельская область	628	
Астраханская область	185	
Белгородская область	302	
Брянская область	184	
Владимирская область	365	
Волгоградская область	519	
Вологодская область	293	
Воронежская область	316	
г. Москва	6414	
г. Санкт-Петербург	2348	
г. Севастополь	151	
Eврейская АОб	100	
Забайкальский край	301	
Ивановская область	241	
Республика Ингушетия	48	
Иркутская область	627	
Кабардино-Балкарская Республика	128	
Калининградская область	317	
Калужская область	110	
Камчатский край	100	
Карачаево-Черкессия Республика	120	
Кемеровская область	578	
Кировская область	379	
Костромская область	201	
Краснодарский край	1000	
Красноярский край	795	
Курганская область	80	
Курская область	383	
Ленинградская область	162	
Липецкая область	337	
Магаданская область	60	
Московская область	2270	
Мурманская область	327	
Ненецкий АОк	24	
Нижегородская область	674	
Новгородская область	120	
Новосибирская область	982	
Омская область	358	
Оренбургская область	404	
Орловская область	342	
Пензенская область	294	
Пермский край	734	
Приморский край	374	
Псковская область	141	
Республика Адыгея	100	
Республика Алтай	168	
Республика Башкортостан	751	
Республика Бурятия	172	
Республика Дагестан	188	
Республика Калмыкия	60	
Республика Карелия	174	
Республика Коми	272	
Республика Крым	684	
Республика Марий Эл	300	
Республика Мордовия	124	
Республика Саха	260	
Республика Северная Осетия-Алания	180	
Республика Татарстан	1571	
Республика Тыва	176	
Республика Хакасия	192	
Ростовская область	724	
Рязанская область	203	
Самарская область	954	
Саратовская область	490	
Сахалинская область	302	
Свердловская область	1101	
Смоленская область	108	
Ставропольский край	2264	
Тамбовская область	771	
Тверская область	217	
Томская область	338	
Тульская область	241	
Тюменская область	609	
Удмуртская Республика	191	
Ульяновская область	135	
Хабаровский край	303	
Ханты-Мансийский АОк	1082	
Челябинская область	780	
Чеченская республика	160	
Чувашская Республика	388	
Чукотский АОк	12	
Ямало-Ненецкий АОк	160	
Ярославская область	379	
